Index,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
3256,2Y0wPrPQBrGhoLn14xRYCG,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485
3257,1jKlRcH7X78ps1yKBTWyUV,0.443,0.579,6,-6.517,0,0.187,0.125,0.0,0.284,0.256,83.827,240437
3258,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747
3259,1rek5HfnFLCDbike8u23ur,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
3260,5gFoAVTN9YlM9uJCrFZtgl,0.606,0.784,7,-6.293,1,0.268,0.435,0.0,0.689,0.48,80.985,278573
3261,23dwrzeJtEEGl2U4CPWSor,0.545,0.975,10,-3.193,0,0.454,0.17,0.0,0.145,0.609,123.906,131674
3262,2l3QrImezIUMv5mytTsnP0,0.817,0.608,2,-8.45,1,0.273,0.0739,0.0,0.0977,0.611,119.986,157369
3263,1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960
3264,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522
3265,4SWWe2OYC4mqf40Gc2RSdl,0.926,0.454,6,-9.932,1,0.0732,0.036,0.000422,0.0896,0.34,119.969,224002
3266,1KyZ4rUiW2lkqGNLQYKpcC,0.941,0.463,8,-5.993,1,0.113,0.0247,5.53e-05,0.192,0.312,127.003,187898
3267,1jo3TwNGCXfNdB5uba3ZVv,0.893,0.651,0,-8.647,0,0.367,0.0995,0.0,0.371,0.6,105.835,253580
3268,48RrDBpOSSl1aLVCalGl5C,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189
3269,26u6HGjzExhRZD5ifgTBnG,0.625,0.576,9,-7.976,1,0.0297,0.175,0.0023,0.127,0.422,128.059,268513
3270,2qHiyBpxyOXnRGG3t2iE96,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,209693
3271,1jKlRcH7X78ps1yKBTWyUV,0.443,0.579,6,-6.517,0,0.187,0.125,0.0,0.284,0.256,83.827,240437
3272,26gXWzhL8DZJSU5sODhVTs,0.635,0.554,2,-3.975,0,0.0343,0.134,0.0,0.116,0.315,156.822,196147
3273,5PGkAnIi965oxlfkWacLz8,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,214707
3274,7sWRlDoTDX8geTR8zzr2vt,0.405,0.646,4,-3.206,0,0.0476,0.331,0.0,0.103,0.17,130.218,156267
3275,4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634
3276,7t2bFihaDvhIrd2gn2CWJO,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983
3277,4O3RwH1TFG1EjPezLIYehI,0.53,0.37,6,-9.989,1,0.0279,0.806,0.0,0.112,0.701,140.061,206734
3278,5wWAwzGp2OaaoIkwcz6wZs,0.63,0.446,1,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143.078,202193
3279,0up9rhm9qt2LW7cnoDFCMk,0.393,0.609,4,-5.954,1,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,264963
3280,4xmkpE1Si5JL7NFxWrhV0S,0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,299822
3281,4Agtk2MrapdZAVN7v6PuFO,0.459,0.581,10,-6.575,1,0.0713,0.316,0.0,0.124,0.49,176.195,133661
