Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
55,2021-05-30 23:39,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,191013,40,3b34OS7148VGiURvWTYweJ,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
56,2021-05-30 23:43,deja vu,Olivia Rodrigo,215507,95,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147
57,2021-05-30 23:55,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,38415,40,3b34OS7148VGiURvWTYweJ,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
58,2021-05-31 11:28,Sygrayem (Let's Play),Carlos Rafael Rivera,0,74,3fGW43fnu3OHEw6ohTC2Bw,0.572,0.759,2,-4.312,1,0.0506,0.127,0.0,0.224,0.519,80.95,163733
59,2021-05-31 11:28,good 4 u,Olivia Rodrigo,0,87,4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983
60,2021-05-31 11:31,Sygrayem (Let's Play),Carlos Rafael Rivera,0,95,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147
61,2021-05-31 13:22,Our Song,Anne-Marie,163733,82,7BoobGhD4x5K96Me0hqC8Q,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773
62,2021-05-31 13:24,Leave Before You Love Me (with Jonas Brothers),Marshmello,154983,85,5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726
63,2021-05-31 13:27,good 4 u,Olivia Rodrigo,178147,0,1rek5HfnFLCDbike8u23ur,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
64,2021-05-31 13:30,Build a Bitch,Bella Poarch,122772,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
65,2021-05-31 13:45,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,140762,75,1rN9QoVxw5U7TJkyaUR8C1,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,238360
