SongName,EndTime,ArtistName,msPlayed,SongID,Popularity
SugarCrash!,2021-06-04 19:36,ElyOtto,80080,7mAB9uFSQHhbbicE5Fy5HA,0
Higher Power,2021-06-04 19:40,Coldplay,211294,0KMwXUa1LQl1QY4kOhkGuB,15
Echo (with KSHMR),2021-06-04 19:43,Armaan Malik,192352,1m1ho1lkZHAGe7rv5K8Ift,58
Astronomy,2021-06-04 19:47,Conan Gray,243907,1niVgR76UPobOED5cXfADq,59
Jalebi Baby,2021-06-04 19:51,Tesher,189375,1eqwjXdMTed8Pz3PLNcHe9,67
Switch It Up (feat. sokodomo) - Prod. Cha Cha Malone,2021-06-04 19:54,JAY B,33639,6CJLdpuz4utMTypcE8kUG3,65
Mera Mann Kehne Laga,2021-06-04 22:04,Falak Shabir,97746,4lLtanYk6tkMvooU0tWzG8,81
Two of Us,2021-06-04 22:07,Louis Tomlinson,217866,4RATA8PsuYPzqnvxuif6Rq,0
Good Years,2021-06-04 22:13,ZAYN,18432,5iCY0TXNImK4hyKfcplQsg,69
Grenade,2021-06-04 22:17,Bruno Mars,210898,5iCY0TXNImK4hyKfcplQsg,69
Talking to the Moon,2021-06-04 22:26,Bruno Mars,413706,33LC84JgLvK2KuW43MfaNq,77
Baarishein,2021-06-04 22:31,Anuv Jain,7137,0qOnSQQF0yzuPWsXrQ9paz,84
Baarishein,2021-06-04 22:31,Anuv Jain,207309,0qOnSQQF0yzuPWsXrQ9paz,84
"My Heart Will Go On - Love Theme from ""Titanic""",2021-06-04 22:36,Céline Dion,280000,6EqWTM2gxDbhqqXfcxdMv8,46
Stereo Hearts (feat. Adam Levine),2021-06-04 22:41,Gym Class Heroes,210960,5iCY0TXNImK4hyKfcplQsg,69
Stereo Hearts (feat. Adam Levine),2021-06-05 13:52,Gym Class Heroes,210960,5iCY0TXNImK4hyKfcplQsg,69
Stereo Love,2021-06-05 14:33,Edward Maya,10980,5dOxHHMOFAbG3VH23t0xNm,80
Baarishein,2021-06-05 17:38,Anuv Jain,207309,5dOxHHMOFAbG3VH23t0xNm,80
Baarishein,2021-06-05 17:38,Anuv Jain,6810,26gXWzhL8DZJSU5sODhVTs,72
Righteous,2021-06-05 17:42,Juice WRLD,242180,4O3RwH1TFG1EjPezLIYehI,73
Righteous,2021-06-05 17:42,Juice WRLD,6759,1jKlRcH7X78ps1yKBTWyUV,57
734,2021-06-05 17:45,Juice WRLD,196146,2Y0wPrPQBrGhoLn14xRYCG,84
Life's A Mess II (with Clever & Post Malone),2021-06-05 17:50,Juice WRLD,0,2rFsFjq0D9JAmc0APpCO6P,72
Lucid Dreams (feat. Lil Uzi Vert) - Remix,2021-06-05 17:50,Juice WRLD,240437,21CkzgKCBCq5V4XKjiGSIj,77
Come & Go (with Marshmello),2021-06-05 17:54,Juice WRLD,205484,6Gg1gjgKi2AK4e0qzsR7sd,82
Blastoff (feat. Juice Wrld & Trippie Redd),2021-06-05 17:55,Internet Money,50795,2AuWgceaQyfMoI3EGavwGb,66
Stay High,2021-06-05 17:56,Juice WRLD,72840,5ZKG94fnjiuMH5yrC5S9lS,67
Bandit (with YoungBoy Never Broke Again),2021-06-05 17:59,Juice WRLD,189322,1Lim1Py7xBgbAkAys3AGAG,74
No Me Ame,2021-06-05 18:00,Rvssian,33392,3KkXRkHbMCARz0aVfEt68P,87
One Dance,2021-06-05 18:03,Drake,173973,1qDrWA6lyx8cLECdZE7TV7,81
Lean On,2021-06-05 18:06,Major Lazer,176561,4OSBTYWVwsQhGLF9NHvIbR,84
Sunflower - Spider-Man: Into the Spider-Verse,2021-06-05 18:09,Post Malone,157560,6ocbgoVGwYJhOv1GgI9NsF,86
